state,state_name,archetype_id,archetype,biggest_one_step_loss,danger_zone_width,leap,safe_exit,cliff_count,deferred_cliff_count,leap_is_lower_bound,no_cliff_found,comparable,figures,unmodeled_programs,corrections_applied,rent_vintage,county_vintage,childcare_price_vintage,reach_vintages,policy_year,sweep_generated,model_endpoint,model_version,source
MN,Minnesota,single-2,"1 adult, 2 children (3 and 7)",27483,66000,66000,120000,4,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MO,Missouri,single-2,"1 adult, 2 children (3 and 7)",16428,61000,52000,110000,12,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MS,Mississippi,single-2,"1 adult, 2 children (3 and 7)",6337,38000,12000,113000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MT,Montana,single-2,"1 adult, 2 children (3 and 7)",14381,60000,54000,112000,5,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NC,North Carolina,single-2,"1 adult, 2 children (3 and 7)",11153,54000,47000,113000,5,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
ND,North Dakota,single-2,"1 adult, 2 children (3 and 7)",10554,36000,18000,108000,7,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NE,Nebraska,single-2,"1 adult, 2 children (3 and 7)",15336,74000,44000,,9,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NH,New Hampshire,single-2,"1 adult, 2 children (3 and 7)",17959,44000,27000,135000,4,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NJ,New Jersey,single-2,"1 adult, 2 children (3 and 7)",26206,75000,62000,111000,7,1,false,false,false,incomplete,NJ Health Plan Savings,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NM,New Mexico,single-2,"1 adult, 2 children (3 and 7)",,,,,0,0,false,true,false,complete,,New Mexico Premium Assistance: modeled; CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",nationalMedian 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NV,Nevada,single-2,"1 adult, 2 children (3 and 7)",13977,57000,55000,108000,5,1,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NY,New York,single-2,"1 adult, 2 children (3 and 7)",32075,68000,55000,,4,1,true,false,true,complete,,Basic Health Program — expanded-limit states: overridden,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
OH,Ohio,single-2,"1 adult, 2 children (3 and 7)",12062,57000,47000,110000,10,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
OK,Oklahoma,single-2,"1 adult, 2 children (3 and 7)",6103,44000,26000,112000,9,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
OR,Oregon,single-2,"1 adult, 2 children (3 and 7)",25745,81000,67000,120000,15,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
PA,Pennsylvania,single-2,"1 adult, 2 children (3 and 7)",20128,46000,34000,110000,5,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
RI,Rhode Island,single-2,"1 adult, 2 children (3 and 7)",16132,59000,33000,110000,8,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
SC,South Carolina,single-2,"1 adult, 2 children (3 and 7)",11497,45000,22000,113000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
SD,South Dakota,single-2,"1 adult, 2 children (3 and 7)",6334,35000,14000,112000,6,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
TN,Tennessee,single-2,"1 adult, 2 children (3 and 7)",5190,35000,13000,114000,6,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
TX,Texas,single-2,"1 adult, 2 children (3 and 7)",13938,47000,24000,116000,5,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
UT,Utah,single-2,"1 adult, 2 children (3 and 7)",11432,48000,27000,113000,7,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
VA,Virginia,single-2,"1 adult, 2 children (3 and 7)",21204,63000,37000,136000,5,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
VT,Vermont,single-2,"1 adult, 2 children (3 and 7)",18890,82000,42000,148000,19,0,false,false,true,complete,,Vermont Premium Assistance: modeled; CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WA,Washington,single-2,"1 adult, 2 children (3 and 7)",19614,63000,49000,119000,6,1,false,false,false,incomplete,Cascade Care Savings,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WI,Wisconsin,single-2,"1 adult, 2 children (3 and 7)",25833,86000,76000,116000,7,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WV,West Virginia,single-2,"1 adult, 2 children (3 and 7)",16167,64000,30000,132000,6,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WY,Wyoming,single-2,"1 adult, 2 children (3 and 7)",14448,60000,23000,128000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
