state,state_name,archetype_id,archetype,biggest_one_step_loss,biggest_loss_at,biggest_loss_programs,danger_zone_width,leap,safe_exit,cliff_count,deferred_cliff_count,leap_is_lower_bound,no_cliff_found,comparable,figures,unmodeled_programs,corrections_applied,childcare_subsidy_footing,county_name,county_fips,rent_vintage,county_vintage,childcare_price_vintage,policy_year,sweep_generated,model_label,model_endpoint,model_version,source
GA,Georgia,single-2,"1 adult, 2 children (3 and 7)",16978,46000,CCDF child care subsidy,56000,48000,114000,5,0,false,false,true,complete,,Medicaid — parent income limit: overridden; Premium tax credit — coverage gap: applied,in PolicyEngine's net income,Fulton County,13121,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
HI,Hawaii,single-2,"1 adult, 2 children (3 and 7)",7689,95000,CCDF child care subsidy,58000,37000,116000,5,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Honolulu County,15003,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
IA,Iowa,single-2,"1 adult, 2 children (3 and 7)",16819,43000,CCDF child care subsidy,46000,44000,108000,5,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Polk County,19153,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2017,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
ID,Idaho,single-2,"1 adult, 2 children (3 and 7)",15624,47000,CCDF child care subsidy,48000,34000,109000,5,1,false,false,true,complete,,,in PolicyEngine's net income,Ada County,16001,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
IL,Illinois,single-2,"1 adult, 2 children (3 and 7)",17288,61000,CCDF child care subsidy,64000,32000,110000,8,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Cook County,17031,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
IN,Indiana,single-2,"1 adult, 2 children (3 and 7)",6951,36000,CCDF child care subsidy,47000,38000,108000,9,0,false,false,true,complete,,,in PolicyEngine's net income,Marion County,18097,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",nationalMedian 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
KS,Kansas,single-2,"1 adult, 2 children (3 and 7)",10044,80000,CCDF child care subsidy,56000,33000,113000,8,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Johnson County,20091,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
KY,Kentucky,single-2,"1 adult, 2 children (3 and 7)",11922,72000,CCDF child care subsidy,43000,22000,112000,4,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Jefferson County,21111,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
LA,Louisiana,single-2,"1 adult, 2 children (3 and 7)",9649,70000,CCDF child care subsidy,51000,17000,114000,10,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,East Baton Rouge Parish,22033,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MA,Massachusetts,single-2,"1 adult, 2 children (3 and 7)",10370,118000,CCDF child care subsidy,69000,38000,144000,6,0,false,false,true,complete,,TANF cash assistance: applied; ConnectorCare Plan Type 2A: ladder; CCDF child care subsidy: added by HotGap,added by HotGap,Middlesex County,25017,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MD,Maryland,single-2,"1 adult, 2 children (3 and 7)",33587,97000,CCDF child care subsidy,62000,53000,,4,0,true,false,true,complete,,Maryland Young Adult Premium Assistance: modeled,in PolicyEngine's net income,Montgomery County,24031,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
ME,Maine,single-2,"1 adult, 2 children (3 and 7)",8110,123000,CCDF child care subsidy,64000,22000,143000,9,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Cumberland County,23005,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MI,Michigan,single-2,"1 adult, 2 children (3 and 7)",17255,53000,CCDF child care subsidy,63000,55000,110000,6,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Wayne County,26163,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MN,Minnesota,single-2,"1 adult, 2 children (3 and 7)",27483,56000,CCDF child care subsidy,66000,66000,120000,4,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Hennepin County,27053,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MO,Missouri,single-2,"1 adult, 2 children (3 and 7)",16428,40000,CCDF child care subsidy,61000,52000,110000,12,0,false,false,true,complete,,,in PolicyEngine's net income,St. Louis County,29189,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MS,Mississippi,single-2,"1 adult, 2 children (3 and 7)",6337,61000,CCDF child care subsidy,38000,12000,113000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Harrison County,28047,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MT,Montana,single-2,"1 adult, 2 children (3 and 7)",14381,40000,Medicaid; CCDF child care subsidy,60000,54000,112000,5,0,false,false,true,complete,,,in PolicyEngine's net income,Yellowstone County,30111,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NC,North Carolina,single-2,"1 adult, 2 children (3 and 7)",11153,54000,CCDF child care subsidy,54000,47000,113000,5,0,false,false,true,complete,,,in PolicyEngine's net income,Wake County,37183,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
ND,North Dakota,single-2,"1 adult, 2 children (3 and 7)",10554,81000,CCDF child care subsidy,36000,18000,108000,7,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Cass County,38017,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NE,Nebraska,single-2,"1 adult, 2 children (3 and 7)",15336,49000,CCDF child care subsidy,74000,44000,,9,0,false,false,true,complete,,,in PolicyEngine's net income,Douglas County,31055,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NH,New Hampshire,single-2,"1 adult, 2 children (3 and 7)",17959,108000,CCDF child care subsidy,44000,27000,135000,4,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Hillsborough County,33011,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NJ,New Jersey,single-2,"1 adult, 2 children (3 and 7)",26206,54000,CCDF child care subsidy,75000,56000,114000,7,1,false,false,true,complete,,NJ Health Plan Savings: modeled; CCDF child care subsidy: added by HotGap,added by HotGap,Bergen County,34003,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NM,New Mexico,single-2,"1 adult, 2 children (3 and 7)",,,,,,,0,0,false,true,false,complete,,New Mexico Premium Assistance: modeled; CCDF child care subsidy: added by HotGap,added by HotGap,Bernalillo County,35001,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",nationalMedian 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NV,Nevada,single-2,"1 adult, 2 children (3 and 7)",13977,34000,CCDF child care subsidy,57000,55000,108000,5,1,false,false,true,complete,,,in PolicyEngine's net income,Clark County,32003,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
NY,New York,single-2,"1 adult, 2 children (3 and 7)",32075,95000,CCDF child care subsidy,68000,55000,,4,1,true,false,true,complete,,Basic Health Program — expanded-limit states: overridden,in PolicyEngine's net income,Kings County,36047,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
OH,Ohio,single-2,"1 adult, 2 children (3 and 7)",12062,38000,CCDF child care subsidy,57000,47000,110000,10,0,false,false,true,complete,,,in PolicyEngine's net income,Franklin County,39049,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
OK,Oklahoma,single-2,"1 adult, 2 children (3 and 7)",6103,34000,SNAP,44000,26000,112000,9,0,false,false,true,complete,,,in PolicyEngine's net income,Oklahoma County,40109,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
OR,Oregon,single-2,"1 adult, 2 children (3 and 7)",25745,54000,CCDF child care subsidy,81000,67000,120000,15,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Multnomah County,41051,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
PA,Pennsylvania,single-2,"1 adult, 2 children (3 and 7)",20128,54000,CCDF child care subsidy,46000,34000,110000,5,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Philadelphia County,42101,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
RI,Rhode Island,single-2,"1 adult, 2 children (3 and 7)",16132,71000,CCDF child care subsidy,59000,33000,110000,8,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Providence County,44007,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
SC,South Carolina,single-2,"1 adult, 2 children (3 and 7)",11497,73000,CCDF child care subsidy,45000,22000,113000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; Premium tax credit — coverage gap: applied,in PolicyEngine's net income,Greenville County,45045,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
SD,South Dakota,single-2,"1 adult, 2 children (3 and 7)",6334,59000,CCDF child care subsidy,35000,14000,112000,6,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Minnehaha County,46099,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
TN,Tennessee,single-2,"1 adult, 2 children (3 and 7)",5190,73000,CCDF child care subsidy,35000,13000,114000,6,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Shelby County,47157,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
TX,Texas,single-2,"1 adult, 2 children (3 and 7)",13938,77000,CCDF child care subsidy,47000,24000,116000,5,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Harris County,48201,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
UT,Utah,single-2,"1 adult, 2 children (3 and 7)",11432,86000,CCDF child care subsidy,48000,27000,113000,7,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Salt Lake County,49035,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
VA,Virginia,single-2,"1 adult, 2 children (3 and 7)",21204,99000,CCDF child care subsidy,63000,37000,136000,5,0,false,false,true,complete,,,in PolicyEngine's net income,Fairfax County,51059,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
VT,Vermont,single-2,"1 adult, 2 children (3 and 7)",18890,106000,Premium tax credit,82000,42000,148000,19,0,false,false,true,complete,,Vermont Premium Assistance: modeled; CCDF child care subsidy: added by HotGap,added by HotGap,Chittenden County,50007,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WA,Washington,single-2,"1 adult, 2 children (3 and 7)",19614,70000,CCDF child care subsidy,60000,49000,119000,6,1,false,false,true,complete,,Cascade Care Savings: modeled,in PolicyEngine's net income,King County,53033,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WI,Wisconsin,single-2,"1 adult, 2 children (3 and 7)",25833,54000,CCDF child care subsidy,86000,76000,116000,7,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Milwaukee County,55079,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WV,West Virginia,single-2,"1 adult, 2 children (3 and 7)",16167,106000,Premium tax credit,64000,30000,132000,6,0,false,false,true,complete,,,in PolicyEngine's net income,Kanawha County,54039,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
WY,Wyoming,single-2,"1 adult, 2 children (3 and 7)",14448,106000,Premium tax credit,60000,23000,128000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Laramie County,56021,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
